Year_Month,County,Electric,Plug-in Hybrid,EV_Total,Charging_Stations,Level1_Ports,Level2_Ports,DC_Fast_Ports,Total_Charging_Ports,Public_Stations,Stations_With_Level2,Stations_With_DC_Fast,EV_per_Station
2026-02-01,Allegany,503,0,503,21,2,28,20,50,20,12,9,23.952380952380953
2026-02-01,Anne Arundel,11317,0,11317,176,22,466,153,641,161,148,40,64.30113636363636
2026-02-01,Baltimore County,11052,0,11052,382,1,1093,260,1354,353,333,66,28.93193717277487
2026-02-01,Calvert,1186,0,1186,19,0,44,4,48,19,19,1,62.421052631578945
2026-02-01,Caroline,190,0,190,5,0,15,0,15,5,5,0,38.0
2026-02-01,Carroll,2103,0,2103,25,0,64,18,82,24,22,8,84.12
2026-02-01,Cecil,664,0,664,19,2,21,80,103,18,9,10,34.94736842105263
2026-02-01,Charles,2619,0,2619,37,0,59,28,87,32,28,9,70.78378378378379
2026-02-01,Dorchester,153,0,153,14,0,26,10,36,14,11,3,10.928571428571429
2026-02-01,Frederick,6314,0,6314,74,0,159,76,235,70,57,18,85.32432432432432
2026-02-01,Garrett,104,0,104,16,0,20,16,36,16,10,6,6.5
2026-02-01,Harford,2936,0,2936,54,0,163,112,275,51,36,24,54.370370370370374
2026-02-01,Howard,12680,0,12680,162,0,388,53,441,155,155,13,78.27160493827161
2026-02-01,Kent,152,0,152,14,0,30,2,32,13,13,1,10.857142857142858
2026-02-01,Montgomery,34767,0,34767,356,7,938,159,1104,321,324,42,97.66011235955057
2026-02-01,Prince George's,13464,0,13464,254,14,671,199,884,225,222,42,53.00787401574803
2026-02-01,Queen Anne's,634,0,634,17,0,34,32,66,17,13,6,37.294117647058826
2026-02-01,Somerset,65,0,65,5,0,10,2,12,5,4,1,13.0
2026-02-01,St. Mary's,1137,0,1137,40,0,78,29,107,31,31,10,28.425
2026-02-01,Talbot,455,0,455,14,0,24,16,40,13,12,2,32.5
2026-02-01,Washington,1033,0,1033,48,0,79,55,134,46,34,17,21.520833333333332
2026-02-01,Wicomico,579,0,579,23,0,52,38,90,22,15,11,25.17391304347826
2026-02-01,Worcester,418,0,418,29,0,65,25,90,27,25,5,14.413793103448276
